session,response,WCPM,Accuracy,words
32239,565652,97.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat for a sam and jo smiled knowing the squirrels were safe with their mother"
32258,566007,15.1,0.292,"sam and jo went jo went for went went for a from the tree above for a hike they they took a watched and watched and waited hike path through path through the their heads their the mother soon returned stopped see what the returned with a returned with a mouthful began to soon returned with a for a hike they took a path through the woods suddenly for a hike they took a path through the woods woods suddenly sam heard a suddenly sam heard a noise path as the coming from the tree above"
32438,569207,39.6,0.868,"sam and jo went for a hike they took a path through the woods the woods suddenly sam heard a noise a noise coming stopped as the what the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the jo what the noise but but their mother must be somewhere be be the children watched and to see what see what the waited sure to the mother soon were safe with see of nuts the"
32674,573193,58.5,0.988,"sam heard a sam sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo jo climbed up to see what the the noise was eat sam was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts and jo nuts the noises stopped as the with a mouthful of nuts the with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo heads jo heads jo climbed up to knowing the squirrels took a"
32714,573907,35.9,0.963,"sam and and jo smiled knowing the squirrels were went went for a hike hike for a hike they took took took a path through were alone knowing the suddenly suddenly sam heard a noise coming from the tree above but their heads heads jo climbed up to see what was and the noise was and found two baby squirrels the the children watched were were alone were alone but their mother mother must must be somewhere somewhere near the must be children children watched"
32807,575320,97.2,0.974,"a noise coming from the went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree what from the tree above above their heads jo jo climbed up to see what the noise was and found two baby what the noise was"
32922,577291,31.5,0.979,"sam and jo to see what the for a hike they took a path must through the the woods suddenly sam heard sam heard a noise coming from the tree above their heads jo climbed up to see what the noise heard a noise was and found two baby squirrels the babies were alone but their mother"
33652,588202,38.3,0.946,"sam and jo went went for a hike they took a path through the woods suddenly sam heard tree above their heads suddenly sam heard a noise coming from above their heads sam jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near children watched watched and waited"
35171,611797,69.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone alone but their mother must be nuts somewhere near the children watched watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing knowing the squirrels were safe with their mother"
37230,646366,68.6,0.843,"sam and jo went for a hike they took a path heads jo climbed up to see what the noise was and what the what the noise coming from the tree above their heads jo climbed up to see what the noise was and found knowing the up to see what the noise was and found two baby squirrels the alone but their mother must be somewhere near the children watched and waited sure enough the mother what the noise was and a mouthful of nuts watched as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother a hike went for a hike they took a knowing the sam and jo went for"
38071,655107,112.7,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise with a was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
40760,679527,67.5,0.865,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the and found two baby squirrels the the squirrels were they took heard the squirrels but their mother must mother must be somewhere near the their heads watched and waited sure for waited the mother soon returned with a mouthful of nuts the sure enough the mother soon returned with a coming sam and jo smiled knowing the squirrels were safe with their mother"
40865,680973,27.0,0.867,"sam and jo went for a hike they took a path a path their mother went for a hike they took a path through the noise coming from the tree above above their heads jo climbed up to see what the noise was and found mouthful two baby squirrels the babies were alone but"
40887,681363,59.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must must be somewhere near the children watched and waited sure for a sure enough the mother soon returned to their with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing knowing the squirrels were safe with their mother"
40964,682698,103.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
41091,684830,78.0,1.000,"sam and sam and jo went for a hike they took a path through the woods suddenly sam suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was see what and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched were alone near the children watched and waited sure enough the mother soon returned with a soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo jo smiled knowing the squirrels were safe with their mother"
41105,685076,112.6,0.933,"suddenly sam heard a for a hike they took a path for a suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
41120,685369,67.5,0.865,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and was and noise was and was and found two two baby squirrels the babies were alone but their mother must be somewhere near the children watched and watched and waited sure enough the mother soon returned returned with a mouthful of nuts the smiled knowing the squirrels were safe with their mother sam and jo went for a to"
41664,693669,37.9,0.933,"sam and jo went for a for a hike they took a path through the woods suddenly sam heard a noise sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was what the noise was and found two baby squirrels the babies were alone but their mother heard a noise must be somewhere near the children watched was was and noise was with their mother"
42279,701448,72.6,0.943,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was was and found two baby squirrels the babies were alone but their mother was be knowing the near the children watched and waited sure enough their mother were alone returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled path through the squirrels were safe with their enough the found"
42307,701799,46.9,1.000,"sam and jo went for a hike they took took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and watched and waited waited sure enough the mother soon soon returned with returned with a with a mouthful of nuts the knowing"
42972,708875,36.0,0.881,"sam and jo went for a went for for for a hike they took took a path through the woods suddenly what the noise suddenly sam heard a noise coming from the tree the tree for a up to see what the jo jo jo climbed up to see what the noise was tree knowing the two baby squirrels the babies were babies were alone alone but was and found their their mother must be somewhere somewhere near the children watched and waited the children children"
44086,718446,96.7,0.955,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched to see jo climbed the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
44169,719354,73.6,0.955,"sam and jo went for a hike they took a path through the woods soon heads jo climbed noise coming from the tree above their heads jo their heads jo climbed up to see what the noise was and found was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a with a mouthful of nuts the noises noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
44867,725913,95.2,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were knowing the squirrels were safe with their mother"
45071,727926,79.8,0.820,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads their knowing two baby squirrels the their the babies were alone but their mother must be somewhere near the a path children watched watched and waited somewhere near the children watched watched and waited sure enough the mother soon returned with a mouthful of nuts a path knowing the noises stopped as the baby squirrels began to eat sam and nuts the squirrels squirrels what the with their mother"
46117,738009,97.1,0.888,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads to see what the noise what the noise was and and was and found two baby squirrels the babies were alone but their mother to see what and waited sure enough the mother soon returned with a a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
46828,744640,188.2,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
46836,744730,99.5,0.888,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the knowing the squirrels were safe with their mother"
46990,746491,51.0,0.893,"sam and jo went for a hike eat sam and took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and was and found two baby squirrels were alone but their mother must be somewhere near the children watched and waited somewhere near was knowing sam and jo went and jo smiled knowing the and waited a mouthful of nuts near were alone near noise coming from the tree noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels"
47002,746639,81.8,0.899,"sam and jo went for a hike watched were alone but suddenly sam heard a noise coming from the tree above their heads above their heads jo climbed up to sure enough what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises what the noise was watched and as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47041,747114,107.9,1.000,"sam and jo went sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was what the noise was what the noise was and found two baby squirrels the babies were alone were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby as the baby squirrels began to eat sam and jo smiled knowing the were safe enough the mother soon were alone was knowing the squirrels were safe with their their mother"
47043,747136,126.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing knowing the squirrels were safe with their mother"
47054,747303,154.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47092,747752,121.6,0.966,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found from the was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47152,748431,155.2,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47361,750388,159.9,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47363,750425,93.6,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads sam and jo climbed up to see to see what the tree above above their heads jo climbed up to see to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure somewhere near the mother soon returned with a a hike they mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47378,750595,116.6,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above tree above near the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47388,750666,124.5,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47421,751001,175.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47464,751440,166.7,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47502,751928,148.1,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47582,752991,165.7,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47767,754873,67.4,0.930,"they took a path through the went for a hike they took a path through the woods suddenly sam heard a noise coming from above up to see what the enough the climbed up to see what the noise was and found two baby squirrels the babies were alone but their their mother must be somewhere near the climbed watched and waited sure sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47824,755427,161.1,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
47894,756104,136.7,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to the tree see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing knowing the squirrels were safe with their mother"
47912,756273,48.9,0.936,"sam and jo went for a hike they took a path heads jo climbed up suddenly sam heard a noise coming from the tree above their heads jo watched and heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but stopped as the must be somewhere near the children watched and waited sure enough waited waited sure enough the mother soon returned with a with a mouthful of nuts the noises stopped as hike they as the baby squirrels began to eat sam"
48049,757533,182.5,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
48155,758448,61.7,0.978,"sam and jo went watched went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed returned with a to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure watched and a path and jo smiled knowing the and waited sure enough the mother soon returned with a mouthful were mother soon returned with a of nuts the near nuts stopped as the baby squirrels began to eat they took a eat sam and jo smiled knowing the squirrels were safe with their mother"
48268,759434,25.5,0.434,"sam and jo went for a hike went for a hike they took a path a for a to eat for a and jo went for a hike they took a path through soon returned a noise coming from the tree above their their heads baby squirrels must be eat sam and were safe with noises but their mother must be somewhere somewhere near the sam heard a to see what they took a path a noise coming from the path through the woods suddenly sam heard a and found with a mouthful of nuts the"
48359,760144,139.1,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near somewhere near the children watched and watched and waited sure enough the mother soon soon returned returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
48410,760695,102.8,0.978,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies was and found but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
48418,760770,58.6,0.865,"sam and jo went for a hike they took a path to eat sam and knowing suddenly sam heard a noise coming from the tree above their heads jo climbed soon returned with a near up to see what the noise was and found two baby squirrels the be near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo to eat sam and knowing the squirrels were safe with their mother"
48502,761579,112.6,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned and a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
48539,761909,41.7,0.964,"sam and jo went for a hike they took a path through the woods suddenly sam sam heard a noise coming from the tree above their see what the began their heads jo knowing knowing the squirrels up to see what the noise was and found two baby squirrels the babies were alone alone alone but their mother must be somewhere near they their children watched and to eat sam"
48821,764254,76.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo must be jo climbed up to see what the noise was and found two baby squirrels the the babies were alone but their mother must be somewhere near the children watched and waited sure enough the waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe they near the"
48927,765393,99.3,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming coming from the tree above their heads jo see what jo climbed up to see what the noise was see found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon watched returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother see what the"
48966,765729,94.3,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
48972,765847,117.1,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
48978,765932,85.6,0.955,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must the mother a path through the woods waited watched and waited sure enough the mother soon returned with a mouthful of nuts the the mother a mouthful the noise noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49169,767971,61.2,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the sure watched were alone but their mother must be eat somewhere near the children watched and waited sure enough the mother soon returned with a heard a noise mouthful of nuts mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49197,768328,125.3,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49373,770428,101.1,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49541,772048,33.6,1.000,"went for a hike sam and jo what the noise went for a hike they took a a path path path through through the woods jo noise coming from suddenly sam sam for a hike they took a sam and jo went for a hike they took a path heard a noise coming from the tree above their heads a path jo climbed up to see what the noise was and found two from the tree for a baby squirrels began the babies were alone"
49581,772453,101.3,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises knowing the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49599,772599,72.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother were alone but their mother must be somewhere near the children watched and waited sure sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49607,772661,32.0,0.611,"sam and jo went for a hike they took a path through the woods suddenly sam heard a enough found two baby for a path through the for path through the woods suddenly sam noise was and found two baby squirrels the babies were through the woods suddenly sam heard a noise mother must be somewhere near the children to see near near the children watched and with a mouthful of a mouthful of nuts the a noise coming from the tree above their soon returned with"
49661,773095,90.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies the babies were alone but their mother must be somewhere near the children watched and waited heads sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam sam and jo smiled knowing the squirrels were safe with their mother"
49698,773421,127.3,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts knowing the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe"
49703,773470,107.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49751,773901,112.9,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
