Session,catB,catC,catE,catF,catG,catH,catJ,catK,catL,catM,catN,catO,catP,catQ
30908,1.0,0.95,1.0,0.7142857142857143,0.8,1.0,0.9,1.0,0.8,0.8,0.8333333333333334,3.1855,1.0,0.4882978723404256
50941,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,0.9,1.0,1.0,0.8,0.6666666666666666,3.2883333333333336,1.0,0.07407407407407404
47041,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5833333333333334,3.433666666666667,1.0,0.13774104683195593
35171,1.0,1.0,0.8,0.9428571428571428,0.8,1.0,0.65,1.0,0.8,0.8,0.5833333333333334,3.299,1.0,0.43471582181259605
31788,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.8,1.0,0.5833333333333334,3.551833333333333,1.0,0.2074468085106382
41120,1.0,1.0,0.5,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5,2.9025,1.0,0.306578947368421
44169,0.8,0.95,1.0,0.6,0.8,1.0,0.9,1.0,0.8,1.0,0.5833333333333334,2.974166666666666,1.0,0.13740458015267176
46117,1.0,0.95,1.0,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,2.5211666666666663,1.0,0.1786447638603695
47002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.5,2.217833333333333,1.0,0.09790979097909797
47361,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.75,3.18,1.0,0.07974276527331194
47421,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5833333333333334,3.660333333333333,1.0,0.1224719101123596
47502,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9166666666666666,2.7239999999999998,1.0,0.15768725361366626
47824,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.75,1.0,1.0,1.0,0.5833333333333334,3.467333333333334,1.0,0.07515527950310555
48410,1.0,1.0,1.0,0.8857142857142858,0.8,0.8,1.0,1.0,1.0,1.0,0.9166666666666666,3.9441666666666655,1.0,0.026838966202783192
48821,0.9,0.8500000000000001,1.0,0.6,0.8,0.8,0.9,1.0,0.8,0.8,0.8333333333333334,3.011000000000001,1.0,0.1833773087071241
49373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,2.26,1.0,0.19180819180819186
50212,1.0,1.0,1.0,0.7142857142857143,0.8,0.8,0.9,1.0,1.0,0.8,1.0,3.6176666666666666,1.0,0.48823529411764705
50232,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,2.5565,1.0,0.24457994579945805
50666,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.75,1.0,1.0,0.5,1.0,0.5345,1.0,0.4056029232643118
52324,1.0,0.95,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,3.4256666666666664,1.0,0.18336886993603402
31942,1.0,0.95,1.0,0.37142857142857144,0.5,0.8,0.9,0.8,0.8,1.0,0.5833333333333334,3.035166666666667,1.0,0.1311053984575836
32192,0.9,0.8,0.8,0.37142857142857144,0.5,0.8,0.0,0.8,0.0,0.5,0.5,3.1176666666666666,1.0,0.30864197530864196
40760,0.9,0.8,0.5,0.5142857142857143,0.5,0.8,0.4,1.0,0.8,0.8,0.5833333333333334,2.484833333333333,1.0,0.1743243243243244
44086,1.0,0.95,1.0,0.7999999999999999,0.8,1.0,0.9,1.0,1.0,1.0,0.75,1.1900000000000002,1.0,0.4799999999999999
49197,1.0,1.0,1.0,1.0,0.8,1.0,0.9,1.0,1.0,1.0,0.8333333333333334,2.686833333333333,1.0,0.1309719934102141
50030,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,0.8,0.6666666666666666,2.8665,1.0,0.21271186440677967
52490,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,0.8,1.0,0.8,0.8333333333333334,3.228666666666667,1.0,0.2234580384226492
46990,1.0,1.0,1.0,0.7999999999999999,0.8,0.8,0.8,0.8,0.8,0.5,0.6666666666666666,3.2518333333333334,1.0,0.6824817518248175
47894,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,3.2675,1.0,0.11958146487294467
48927,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,3.655666666666667,1.0,0.4171066525871172
49703,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,0.9,1.0,1.0,1.0,0.75,3.815833333333333,1.0,0.13196480938416422
49841,1.0,1.0,1.0,0.9714285714285714,1.0,0.8,1.0,1.0,1.0,1.0,1.0,3.875,1.0,0.2581852198316183
51264,0.9,0.8500000000000001,1.0,0.8285714285714286,0.8,0.5,0.75,0.8,0.5,0.8,1.0,2.46,1.0,0.1658536585365853
52113,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.9,0.8,0.8,0.8,0.5833333333333334,2.8014999999999994,1.0,0.2462941847206385
47912,1.0,0.9,1.0,0.9428571428571428,1.0,1.0,0.65,0.8,0.5,0.8,0.5,2.8036666666666665,1.0,0.07400379506641364
51727,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,0.9,1.0,1.0,1.0,0.9166666666666666,3.3048333333333333,1.0,0.07981220657276987
32239,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,1.0,0.8,1.0,0.8,0.4166666666666667,3.941833333333333,1.0,0.22141372141372134
41091,1.0,1.0,1.0,0.7142857142857143,0.8,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,3.153166666666667,1.0,0.14193548387096774
47363,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.4166666666666667,1.939,1.0,0.5372881355932203
47464,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.6666666666666666,3.361166666666667,1.0,0.12589928057553956
49599,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.221,1.0,0.20027624309392264
49661,1.0,1.0,1.0,0.9428571428571428,0.5,0.8,0.9,1.0,1.0,1.0,0.9166666666666666,2.6488333333333336,1.0,0.32371134020618564
49698,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,3.7008333333333336,1.0,0.31978931527464266
50061,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,1.0,0.8,0.8,0.8,0.8333333333333334,3.6275,1.0,0.1414027149321267
50103,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,0.9,1.0,1.0,1.0,1.0,3.685833333333333,1.0,0.13787510137875114
50118,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.75,1.0,1.0,1.0,0.8333333333333334,2.6896666666666667,1.0,0.22279792746113972
50193,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9166666666666666,3.701666666666666,1.0,0.20730938878386895
50687,1.0,1.0,1.0,0.9714285714285714,0.8,1.0,0.9,1.0,1.0,1.0,1.0,3.277333333333333,1.0,0.05244755244755245
53536,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,3.998666666666667,1.0,0.2876190476190477
32205,1.0,0.95,0.5,0.8857142857142858,0.8,0.8,0.9,0.8,0.5,0.5,0.4166666666666667,2.8218333333333336,1.0,0.8736964078794901
32213,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,3.9308333333333336,1.0,0.1716649431230611
48972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.9193333333333331,1.0,0.022765598650927508
49581,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,1.0,1.0,0.75,3.4406666666666665,1.0,0.16704545454545458
51042,1.0,0.95,0.8,0.8857142857142858,0.8,1.0,1.0,1.0,0.8,1.0,0.9166666666666666,3.3555000000000006,1.0,0.5166872682323856
53212,1.0,0.95,1.0,0.8571428571428571,0.8,1.0,0.9,1.0,0.8,0.8,0.4166666666666667,2.8560000000000003,1.0,0.2719298245614034
53264,1.0,1.0,0.8,0.7142857142857143,0.8,1.0,0.75,0.8,1.0,0.5,0.8333333333333334,2.3588333333333336,1.0,0.14553638409602393
42307,1.0,0.9,1.0,0.9428571428571428,0.8,1.0,0.65,0.8,0.5,0.8,0.5833333333333334,3.0123333333333333,1.0,0.2894168466522678
50020,1.0,0.95,1.0,0.6571428571428571,0.5,1.0,1.0,1.0,0.8,1.0,0.5833333333333334,2.1995,1.0,0.07868020304568532
47043,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.9,1.0,1.0,1.0,0.5833333333333334,0.5836666666666667,1.0,0.2067307692307692
47092,1.0,1.0,0.8,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.16666666666666666,2.631333333333333,1.0,0.2984409799554566
47767,0.8,0.8,0.8,0.5142857142857143,0.5,0.8,0.65,1.0,0.8,0.8,0.5,0.09566666666666666,1.0,0.11464968152866235
52743,0.9,0.8,0.8,0.6571428571428571,0.8,1.0,0.25,0.8,0.0,0.5,0.8333333333333334,1.5735,1.0,0.5527950310559004
50645,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,3.1493333333333333,1.0,0.23474663908996884
50918,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9166666666666666,3.0500000000000003,1.0,0.13189964157706094
45071,1.0,0.95,0.5,0.6285714285714287,0.8,1.0,0.9,0.8,0.8,0.8,0.75,2.221166666666667,1.0,0.4917407878017789
47388,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,3.436666666666666,1.0,0.15285714285714289
49998,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.8333333333333334,3.589,1.0,0.3178947368421053
32258,0.9,0.7,1.0,0.7142857142857143,0.8,0.8,0.25,0.8,0.5,0.5,0.5833333333333334,1.8936666666666664,1.0,0.963235294117647
42972,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.25,2.5161666666666664,0.0,0.4339080459770116
31525,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.8,0.3333333333333333,1.7819999999999998,1.0,0.3450479233226837
37230,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,0.8,1.0,1.0,1.0,0.3333333333333333,1.0085,1.0,0.4697368421052632
49541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,1.7241666666666664,1.0,0.2772277227722773
40887,0.8,0.95,1.0,0.6,0.5,1.0,0.65,1.0,0.8,0.8,0.5833333333333334,1.855,1.0,0.3248638838475499
32922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4736666666666667,0.0,0.3403141361256543
32714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.1421666666666668,0.0,0.05277777777777794
48539,0.9,1.0,1.0,0.8571428571428571,1.0,1.0,0.65,1.0,0.8,0.8,0.75,3.2465,1.0,0.14772727272727273
48978,1.0,1.0,1.0,0.42857142857142855,0.5,1.0,0.75,1.0,1.0,0.8,0.75,2.4806666666666666,1.0,1.027027027027027
50140,0.9,1.0,0.5,0.7142857142857143,0.8,1.0,0.9,0.8,0.5,0.5,0.75,2.3215,1.0,0.4479166666666666
26454,0.9,0.75,1.0,0.8571428571428571,0.8,1.0,0.0,0.8,0.0,0.5,0.5,1.4675,1.0,0.07142857142857148
29605,0.9,0.8500000000000001,1.0,0.7142857142857143,0.0,1.0,0.8,0.8,0.5,0.5,0.8333333333333334,3.360333333333333,1.0,0.3298319327731093
29611,0.8,0.8500000000000001,1.0,0.8571428571428571,1.0,0.8,0.5,0.8,0.0,0.8,0.3333333333333333,1.8793333333333333,1.0,0.9440993788819876
29682,0.8,0.575,1.0,0.6571428571428571,0.0,0.5,0.0,0.5,0.0,0.5,0.8333333333333334,3.8906666666666663,1.0,inf
29736,0.9,0.95,1.0,1.0,0.8,1.0,0.65,1.0,0.5,1.0,0.8333333333333334,2.3565,1.0,0.4461538461538461
30481,1.0,1.0,1.0,0.8571428571428571,0.5,1.0,1.0,1.0,0.8,1.0,0.0,2.4546666666666668,1.0,0.5505443234836703
30683,1.0,1.0,1.0,0.7999999999999999,0.5,1.0,0.5,0.8,1.0,0.8,1.0,3.6,1.0,0.3497854077253217
30819,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.2901666666666665,1.0,0.22402890695573616
33576,0.9,1.0,1.0,0.6,0.5,0.8,1.0,0.8,1.0,1.0,0.5833333333333334,3.8738333333333337,1.0,0.3377049180327868
33595,1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.8,0.8,0.6666666666666666,2.7878333333333334,1.0,0.29672447013487463
33759,0.65,0.5,1.0,0.6571428571428571,0.5,1.0,0.25,0.5,0.0,0.8,0.5,2.180833333333333,1.0,0.5869565217391305
34230,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8,1.0,0.8,0.6666666666666666,3.122666666666667,1.0,0.3884180790960452
38397,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,0.8,0.8,0.8333333333333334,2.1595,1.0,0.061803444782168274
38738,1.0,0.8999999999999999,1.0,0.7142857142857143,0.5,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,3.208833333333333,1.0,0.13642213642213635
38858,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.135,1.0,0.2510785159620362
38957,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,1.0,1.0,0.8,1.0,0.3333333333333333,2.018333333333333,0.5,1.1884253028263796
40181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.7005,1.0,0.2677925211097708
42699,1.0,1.0,1.0,0.8714285714285713,0.5,1.0,1.0,1.0,0.8,1.0,0.75,3.7325,1.0,0.19844357976653693
43543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,4.0,1.0,0.16625615763546794
44131,0.9,0.95,1.0,0.9428571428571428,0.8,0.8,0.0,0.8,0.0,0.5,0.3333333333333333,2.853166666666666,1.0,0.38787878787878777
46223,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.75,1.0,0.8,0.8,0.3333333333333333,1.3435,1.0,0.21845318860244234
46757,1.0,1.0,1.0,0.8571428571428571,0.8,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,3.116,1.0,0.273972602739726
47650,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,0.9,0.8,0.8,1.0,0.8333333333333334,3.1361666666666665,1.0,0.3636363636363637
49623,1.0,1.0,1.0,0.9428571428571428,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.4446666666666665,1.0,0.0658436213991769
50805,1.0,0.95,1.0,0.7999999999999999,0.8,1.0,1.0,1.0,0.8,0.8,0.8333333333333334,2.846166666666667,1.0,0.1873417721518987
52112,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.9,0.8,0.8,0.5,0.5,1.7481666666666669,1.0,0.3373702422145329
52677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.8,0.6666666666666666,3.1041666666666665,1.0,0.191919191919192
52872,1.0,0.95,1.0,0.8571428571428571,0.8,1.0,0.9,0.8,1.0,1.0,1.0,3.398,1.0,0.4267241379310346
53345,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,1.0,3.4545,1.0,0.4144927536231883
53945,1.0,0.95,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,3.157666666666667,1.0,0.1664025356576863
24567,1.0,1.0,1.0,1.0,0.8,1.0,0.75,1.0,0.8,0.8,0.75,2.89,1.0,0.31744186046511624
24629,1.0,1.0,1.0,0.7999999999999999,0.5,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.5736666666666665,1.0,0.025527192008878992
26973,0.9,0.8,1.0,0.7142857142857143,0.5,0.8,0.0,0.8,0.0,0.5,0.75,2.5936666666666666,1.0,0.022821576763485358
30493,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16666666666666666,3.7881666666666662,1.0,0.2498048399687744
48031,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.8,0.8,0.6666666666666666,3.3760000000000003,1.0,0.13754646840148696
50749,0.9,1.0,1.0,0.8571428571428571,0.0,1.0,0.75,1.0,0.8,0.8,0.6666666666666666,1.8459999999999999,1.0,0.06877323420074355
50938,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.8,0.5,0.8333333333333334,0.0,1.0,0.06414662084765188
26418,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.779,1.0,0.2370088719898606
26447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,4.0,1.0,0.14968440036068534
27683,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,0.9,1.0,0.8,1.0,0.5,2.0578333333333334,1.0,0.33375000000000005
29538,0.8,0.825,1.0,0.7142857142857143,1.0,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.301526717557252
29619,1.0,1.0,1.0,0.7142857142857143,0.5,1.0,0.9,1.0,1.0,1.0,0.8333333333333334,2.550333333333333,1.0,0.22188449848024308
35284,0.8,0.7749999999999999,0.8,0.5714285714285714,0.0,0.5,0.4,1.0,0.5,0.8,0.0,1.899166666666667,1.0,0.017142857142857116
35875,0.8,0.8500000000000001,0.8,0.6571428571428571,0.0,1.0,0.8,0.8,0.5,0.8,0.6666666666666666,2.719,1.0,0.11856823266219232
48372,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,1.0,2.7596666666666665,1.0,0.07101727447216882
49071,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,3.5809999999999995,1.0,0.2066326530612244
49907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.530666666666667,1.0,0.14478114478114482
50590,0.9,0.95,1.0,0.8714285714285713,0.8,1.0,0.4,0.8,0.0,0.8,0.6666666666666666,2.783,1.0,0.2433734939759037
51800,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,3.1006666666666667,1.0,0.3320373250388803
52043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.357,1.0,0.06884057971014497
30303,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,1.0,1.0,2.0723333333333334,1.0,0.299079754601227
34773,1.0,1.0,1.0,0.7142857142857143,0.5,1.0,0.75,0.8,0.8,0.5,0.0,3.522,1.0,0.2357357357357358
39486,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.8,1.0,0.8,0.8333333333333334,3.502166666666666,1.0,0.14501992031872513
44725,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.14872262773722625
46213,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.6861666666666655,1.0,0.020077220077220032
52416,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.5,1.0,0.0,0.8,0.5,3.5641666666666665,1.0,0.535031847133758
42169,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.9166666666666666,3.917333333333333,1.0,0.22818791946308714
45049,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,1.0,3.6020000000000003,1.0,0.08323133414932676
49301,0.8,0.8,0.8,0.1142857142857143,0.0,0.5,0.8,0.8,0.8,0.8,0.5,2.7856666666666667,1.0,0.5008025682182986
52236,1.0,1.0,1.0,0.9428571428571428,0.5,1.0,0.5,0.8,1.0,0.8,0.8333333333333334,3.0025,1.0,0.1391426563598031
53614,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,2.9643333333333333,1.0,0.2490761271249077
24021,1.0,1.0,1.0,0.7142857142857143,0.5,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,2.632166666666667,1.0,0.09171974522292996
24259,1.0,0.95,1.0,0.7999999999999999,0.5,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,4.0,1.0,0.1698113207547169
24779,0.9,0.8500000000000001,0.8,0.6571428571428571,0.0,0.5,0.5,0.8,0.0,0.5,0.3333333333333333,1.7555000000000005,1.0,0.18333333333333326
26208,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,2.514666666666667,1.0,0.14337349397590368
28079,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,0.5,1.0,1.0,1.0,0.5833333333333334,1.3133333333333332,1.0,0.1911532385466034
33613,0.8,1.0,1.0,0.6571428571428571,0.5,1.0,0.9,1.0,0.8,1.0,1.0,3.6648333333333336,1.0,0.2713068181818181
35735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4651666666666667,1.0,0.17520969245107187
35835,1.0,1.0,1.0,0.7999999999999999,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,3.2118333333333333,1.0,0.0898268398268398
36065,1.0,0.95,0.8,0.7142857142857143,0.5,0.8,0.9,1.0,1.0,1.0,0.5833333333333334,3.0165,1.0,0.3705692803437165
37578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,2.8393333333333337,1.0,0.14338689740420266
38282,1.0,1.0,1.0,1.0,0.8,1.0,0.5,0.8,1.0,0.5,0.6666666666666666,2.700333333333333,1.0,0.18558951965065504
39078,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,2.172333333333333,1.0,0.5187436676798378
40509,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,0.6666666666666666,3.848,1.0,0.12108174554394585
45349,1.0,1.0,1.0,0.7714285714285714,0.5,0.8,0.9,1.0,1.0,0.8,0.5,2.8265,1.0,0.3186528497409327
45520,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.8,0.8,0.8333333333333334,3.2391666666666663,1.0,0.2357142857142857
48481,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,3.0958333333333337,1.0,0.2919389978213509
49177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8021666666666665,1.0,0.7097457627118644
49906,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,4.0,1.0,0.11890838206627685
52632,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.5,2.2681666666666667,1.0,0.336
26599,1.0,1.0,1.0,0.7999999999999999,0.5,1.0,1.0,0.8,1.0,0.8,0.6666666666666666,3.4211666666666667,1.0,0.35437430786268
32506,0.8,0.65,1.0,0.42857142857142855,0.5,1.0,0.0,0.5,0.0,0.5,0.4166666666666667,1.9878333333333331,1.0,0.29914529914529914
35608,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.7983333333333331,1.0,0.059003051881993875
35805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.333666666666667,1.0,0.35086277732128185
43202,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.8333333333333334,3.913833333333333,1.0,0.2643524699599465
24075,1.0,0.8999999999999999,1.0,0.6,0.0,0.8,0.9,1.0,0.8,0.8,0.5,2.032833333333333,1.0,0.4613259668508286
