Session,Response,Type,Item,WCPM,Accuracy,Prosody,Retell,SAQ1,SAQ2
24422,428573,3026,3106,37.8,0.547,1.5,1.8025,2,0
24422,428577,3026,2902,36.3,0.56,1.6,1.078,2,0
24422,428581,3026,2803,52.3,0.835,2,2.7125,2,0
24474,429608,3026,310,31.9,0.529,1.5,1.88,2,0
24474,429612,3026,2102,32.1,0.56,1.3,0.5105,2,0
24474,429616,3026,2302,27.1,0.232,1.6,1.1895,2,0
24565,431262,3026,310,29.2,0.379,1.3,1.7705,2,0
24565,431266,3026,2102,20.4,0.347,1.1,0.982,0,2
24565,431270,3026,2302,24.9,0.402,1.2,0.849,2,0
24567,431299,3026,2101,83.6,0.973,2.6,1.981,1,2
24567,431303,3026,2504,92.2,1,3.2,2.689,2,0
24567,431307,3026,410,64.9,1,2.4,4,2,2
24629,432786,3026,2101,89.5,1,3,3.6215,2,2
24629,432791,3026,2504,94.2,1,3,4,2,0
24629,432796,3026,410,100.1,1,3.2,3.0995,2,2
24750,441358,3026,2403,112.2,0.987,3.5,2.9275,2,2
24750,441362,3026,420,119,0.899,3.3,4,0,2
24750,441366,3026,2701,129.4,1,3.9,3.696,0,0
24759,441543,3026,2904,91,1,3.1,2.327,2,2
24759,441547,3026,2402,87,1,3,2.3575,0,2
24759,441552,3026,520,100.2,0.987,3,2.5315,0,2
24761,441582,3026,2904,99.5,0.99,3.2,2.1465,2,2
24761,441587,3026,2402,113.8,0.977,3.7,2.452,0,1
24761,441591,3026,520,120.6,1,3.9,3.0505,0,0
24779,441902,3026,1703,30.5,0.582,1.5,0.32,0,0
24779,441906,3026,1502,33.4,0.77,1.5,2.5985,0,0
24779,441911,3026,2001,18.3,0.342,1.4,2.348,2,2
24784,441968,3026,2904,92.9,0.84,2.8,2.475,0,0
24784,441972,3026,2402,78.3,1,2.5,2.5355,2,1
24784,441976,3026,520,95.9,1,3.1,3.826,2,2
24861,445328,3026,2101,122.6,0.863,3.7,0.8215,0,2
24861,445332,3026,2504,122.8,0.947,3.7,4,2,2
24861,445336,3026,410,0,0,-1,0,2,2
24881,445923,3026,1903,30.6,0.592,1.5,3.0415,2,0
24881,445927,3026,1603,47.1,0.875,1.7,3.159,2,0
24881,445931,3026,1401,64.9,1,2.3,4,2,2
25755,457658,3026,1903,125.7,1,3.9,3.4125,2,2
25755,457662,3026,1603,121.2,1,3.8,4,2,2
25755,457666,3026,1401,160.2,1,4.5,3.7335,2,2
25765,457826,3026,2904,73.5,1,2.6,1.4375,2,0
25765,457830,3026,2402,128.5,0.943,3.8,2.4775,2,1
25765,457834,3026,520,105.9,1,3.2,0,0,1
25844,459264,3026,2403,79.6,1,2.5,4,2,0
25844,459268,3026,420,91.4,1,2.8,2.414,1,2
25844,459273,3026,2701,89,1,2.9,3.551,0,0
25859,459630,3026,2403,37.4,0.696,1.4,1.67,2,2
25859,459635,3026,420,42.3,0.697,1.4,0,0,0
25859,459640,3026,2701,39,0.658,1.4,0.8685,2,0
26120,465736,3026,1703,27.6,0.567,1.3,1.285,0,0
26120,465740,3026,1502,31.3,0.705,1.2,3.311,2,0
26120,465745,3026,2001,27.5,0.521,1.1,1.98,2,2
26122,465815,3026,1703,34.5,0.716,1.3,3.5735,2,0
26122,465819,3026,1502,36.4,0.754,1.2,3.247,2,0
26122,465824,3026,2001,38,0.712,1.2,3.865,2,2
26136,466155,3026,2101,42.2,0.795,1.6,3.122,1,0
26136,466160,3026,2504,50.4,0.933,1.8,2.7825,2,0
26136,466165,3026,410,53.7,0.986,1.9,2.977,2,2
26187,468325,3026,2101,66.6,1,2.3,4,2,2
26187,468330,3026,2504,73.9,1,2.5,4,2,2
26187,468335,3026,410,71.7,0.986,2.2,3.8435,2,2
26208,468675,3026,2101,92.8,1,3,2.5125,2,2
26208,468679,3026,2504,85.2,1,3,2.7295,2,0
26208,468683,3026,410,83.4,0.971,2.5,2.302,2,2
26274,469834,3026,1703,19.6,0.313,1.3,1.643,0,0
26274,469838,3026,1502,21.4,0.525,1.6,1.8035,0,0
26274,469842,3026,2001,39.3,0.658,1.9,3.3335,0,2
26290,470103,3026,310,96.3,1,3,3.2775,2,2
26290,470108,3026,2102,123.6,0.947,3.1,3.9865,2,2
26290,470112,3026,2302,116,1,3.6,4,2,2
26301,470308,3026,310,39.3,0.655,1.4,2.126,2,2
26301,470313,3026,2102,58.4,0.48,1.9,1.966,0,2
26301,470318,3026,2302,46.4,0.829,1.7,2.7505,2,2
26304,470364,3026,3106,128.3,1,3.8,2.536,0,1
26304,470368,3026,2902,111.8,0.983,3.4,2.5695,2,2
26304,470372,3026,2803,135,1,3.9,2.8325,0,0
26312,470515,3026,310,36.4,0.575,1.5,4,2,0
26312,470520,3026,2102,35.8,0.707,1.5,3.2045,0,2
26312,470525,3026,2302,23.7,0.415,1.3,1.825,2,0
26324,470735,3026,2101,118.4,1,3.9,2.04,2,2
26324,470739,3026,2504,117.4,1,3.8,3.2895,2,2
26324,470743,3026,410,122.3,1,4,3.1945,2,2
26345,471083,3026,3106,72.9,0.949,2.4,1.3565,0,1
26345,471087,3026,2902,59.7,0.957,2.1,0.469,0,0
26345,471091,3026,2803,69,0.983,2.3,2.7975,0,0
26353,471219,3026,310,29,0.425,1.3,1.611,2,0
26353,471224,3026,2102,36.4,0.293,1.4,1.805,0,0
26353,471229,3026,2302,35.4,0.122,1.4,1.1875,2,0
26356,471277,3026,3106,92.7,0.949,2.6,2.549,0,1
26356,471281,3026,2902,102,0.991,3,2.7625,1,2
26356,471285,3026,2803,123.2,1,3.2,3.407,2,2
26394,471946,3026,2101,135.9,1,4,3.012,2,0
26394,471950,3026,2504,146.2,1,4,2.8505,2,0
26394,471954,3026,410,138.3,1,3.8,4,2,2
26406,472159,3026,2101,62.8,0.986,2.2,4,2,2
26406,472163,3026,2504,54.8,0.987,2.1,2.943,2,0
26406,472167,3026,410,73.4,1,2.3,2.9165,2,2
26418,472385,3026,2101,83.5,1,2.6,4,2,2
26418,472390,3026,2504,95.3,0.987,3.1,3.337,2,0
26418,472395,3026,410,79.9,1,2.7,4,2,2
26428,472560,3026,3106,76.6,1,2.6,1.6325,2,2
26428,472564,3026,2902,72.1,1,2.8,2.2315,2,0
26428,472568,3026,2803,84.3,1,3,2.5075,0,0
26447,472888,3026,2101,112.7,1,3.7,4,2,2
26447,472892,3026,2504,112.4,1,3.5,4,2,0
26447,472896,3026,410,105.1,1,3.4,4,2,2
26454,473015,3026,1703,32.4,0.687,1.4,1.0235,2,0
26454,473020,3026,1502,33,0.656,1.2,2.3465,2,0
26454,473025,3026,2001,31.2,0.63,1.4,1.0325,0,2
26500,473861,3026,3106,91.2,0.991,2.8,1.4385,0,1
26500,473865,3026,2902,81.3,0.983,2.8,2.7145,2,2
26500,473869,3026,2803,79.5,0.975,2.6,3.2035,1,0
26517,474148,3026,2101,115.1,1,3.7,2.9385,2,2
26517,474153,3026,2504,136.2,1,4.2,3.632,2,0
26517,474158,3026,410,137.8,1,4.1,2.5995,2,2
26539,474548,3026,3106,103.2,1,3,3.51,0,0
26539,474552,3026,2902,79,0.991,2.5,3.609,2,0
26539,474556,3026,2803,83.1,0.992,2.7,3.2045,2,0
26548,474722,3026,2101,80.4,0.986,2.5,3.987,2,2
26548,474726,3026,2504,93.1,0.947,2.7,4,0,0
26548,474730,3026,410,89.7,0.986,2.6,3.8105,2,2
26590,475463,3026,310,93.2,1,2.4,3.923,2,2
26590,475467,3026,2102,101.8,1,2.8,4,2,2
26590,475471,3026,2302,92.1,1,2.8,4,2,0
26592,475499,3026,310,39.5,0.667,1.6,3.2615,2,0
26592,475503,3026,2102,28.2,0.533,1.3,2.041,2,2
26592,475507,3026,2302,36.5,0.646,1.7,2.694,2,2
26593,475513,3026,3106,81.7,0.983,2.5,2.5925,0,1
26593,475518,3026,2902,86.8,0.767,2.8,1.9165,1,0
26593,475522,3026,2803,78.6,0.826,2.9,2.2365,2,0
26599,475612,3026,2101,101.4,1,3.2,3.041,0,2
26599,475616,3026,2504,118.9,0.987,3.3,3.715,2,0
26599,475620,3026,410,98.4,1,2.9,3.5075,2,2
26604,475706,3026,1703,32.7,0.672,1.5,2.9885,2,0
26604,475711,3026,1502,40.4,0.967,1.2,2.7255,2,2
26613,475905,3026,3106,87.3,0.983,2.5,1.659,0,1
26613,475909,3026,2902,68.4,0.957,2.2,3.0285,0,2
26613,475913,3026,2803,68.8,0.967,2.3,2.6065,0,0
26616,475960,3026,3106,76.4,0.94,2.5,2.168,2,1
26616,475964,3026,2902,87.4,1,2.7,3.3195,0,0
26616,475968,3026,2803,84.1,0.959,2.7,3.144,0,2
26621,476094,3026,2101,123,0.986,3.4,3.9845,2,2
26621,476099,3026,2504,125,1,3.7,3.137,2,2
26621,476104,3026,410,119.4,1,3.4,3.671,2,2
26653,476963,3026,3106,93.5,0.821,3,1.9135,0,0
26653,476967,3026,2902,117.7,1,3.6,1.888,2,2
26653,476971,3026,2803,114.1,0.983,3.3,3.419,0,2
26654,476982,3026,3106,92.8,0.983,2.7,1.4365,0,1
26654,476986,3026,2902,100,1,3.2,1.5055,1,2
26654,476990,3026,2803,105.7,1,3.4,1.5675,0,0
26666,477204,3026,3106,99.7,1,3,2.1775,0,1
26666,477209,3026,2902,79.4,0.974,2.4,1.959,2,2
26666,477214,3026,2803,85,0.959,2.7,2.474,1,0
26674,477361,3026,3106,29.3,0.094,1.6,3.0395,0,0
26674,477365,3026,2902,47.6,0.147,1.6,3.3135,1,0
26674,477369,3026,2803,76,0.248,2.2,3.3155,0,2
26686,477594,3026,310,65.5,0.897,2,2.141,2,0
26686,477599,3026,2102,45.1,0.893,1.6,2.3135,0,0
26686,477604,3026,2302,40.5,0.707,1.8,3.379,2,0
26728,478542,3026,2904,94.2,1,3,3.1295,2,2
26728,478546,3026,2402,95.4,0.977,3.2,3.319,2,1
26728,478550,3026,520,121.6,1,3.8,3.194,2,2
26738,478788,3026,2904,69,0.77,2.3,0,0,0
26738,478792,3026,2402,74.9,0.782,2.4,0.9855,2,1
26738,478796,3026,520,88.6,0.872,2.6,2.2205,0,2
26748,478962,3026,2403,72.2,0.962,2.4,3.192,2,2
26748,478966,3026,420,81,0.966,2.5,2.946,0,2
26748,478970,3026,2701,82,0.991,2.5,3.507,2,2
26750,478986,3026,2101,140.7,1,4.3,4,2,2
26750,478990,3026,2504,134.8,1,4.3,3.707,0,0
26750,478994,3026,410,112.8,1,3.7,4,2,2
26755,479081,3026,2904,81.4,1,2.5,2.2315,2,2
26755,479086,3026,2402,110.2,1,3.3,3.355,2,1
26755,479091,3026,520,118.9,1,3.6,3.0655,0,0
26812,480225,3026,2101,85.5,1,3,1.534,2,2
26812,480229,3026,2504,89.1,1,3.2,2.0625,2,2
26812,480233,3026,410,93.7,1,3.3,3.17,2,2
26829,480591,3026,310,82.2,0.989,2.6,2.989,2,0
26829,480596,3026,2102,87.3,1,2.8,3.517,2,2
26829,480601,3026,2302,98.4,1,3.2,2.339,2,0
26857,481046,3026,3106,99.2,0.983,3.4,2.5325,0,0
26857,481050,3026,2902,92,1,3.1,3.3145,2,2
26857,481054,3026,2803,115.2,0.992,3.8,3.5955,2,2
26860,481177,3026,310,83.4,0.989,2.2,3.2955,2,2
26860,481181,3026,2102,99,0.987,2.9,3.95,2,2
26860,481186,3026,2302,71.2,0.537,2.6,3.3295,2,0
26864,481251,3026,2904,56.7,0.92,2.4,0,0,2
26864,481255,3026,2402,79.5,0.977,2.6,2.25,2,1
26864,481259,3026,520,87.2,0.987,2.8,3.109,0,2
26867,481309,3026,310,67.2,0.989,2.1,2.176,2,2
26867,481313,3026,2102,69.7,0.973,2.2,3.5105,2,2
26867,481317,3026,2302,55.3,0.927,1.7,3.1835,2,2
26872,481375,3026,3106,73.4,0.991,2.4,2.36,0,2
26872,481379,3026,2902,71.2,0.957,2.1,0.259,2,0
26872,481383,3026,2803,83.1,0.934,2.7,0.56,1,0
26878,481475,3026,310,81.8,1,2.6,1.966,2,2
26878,481479,3026,2102,84.2,1,2.7,1.674,0,0
26878,481483,3026,2302,71.2,0.988,2.2,1.322,0,0
26893,481809,3026,3106,65.8,0.573,1.9,0.3465,2,1
26893,481814,3026,2902,75.6,0.974,2.1,1.4735,0,2
26893,481819,3026,2803,90.8,1,3.1,2.2845,2,2
26929,483214,3026,1903,60.2,0.974,2,2.555,2,2
26929,483218,3026,1603,44.2,0.806,1.7,3.0885,0,0
26929,483223,3026,1401,73.1,1,2,2.9475,2,0
26946,483426,3026,2203,132.9,1,3.8,1.0985,2,0
26946,483431,3026,350,122.4,1,3.5,1.3685,0,0
26946,483435,3026,2401,126.3,0.852,3.8,0.9335,2,2
26973,483911,3026,2101,56.4,0.877,2.1,1.3135,1,2
26973,483915,3026,2504,52.9,0.947,2.2,2.4675,2,0
26973,483919,3026,410,61.1,0.986,2.2,4,2,2
26995,484199,3026,2203,128.5,1,3.6,2.03,2,0
26995,484204,3026,350,162.7,1,4.1,3.232,2,2
26995,484209,3026,2401,139.9,0.951,3.5,3.411,0,2
27003,484334,3026,310,38.2,0.575,1.5,2.472,2,2
27003,484338,3026,2102,34,0.493,1.3,0.5615,2,2
27003,484342,3026,2302,46.8,0.793,1.7,0.7055,2,0
27005,484356,3026,3106,47.8,0.701,2.2,1.677,2,0
27005,484360,3026,2902,62.6,0.983,2.6,1.7105,0,0
27005,484364,3026,2803,68.9,1,2.6,1.48,2,0
27021,484644,3026,3106,28.8,0.462,1.4,1.974,0,2
27021,484649,3026,2902,47.3,0.776,1.7,3.0955,2,2
27021,484654,3026,2803,38.4,0.603,1.6,3.643,2,2
27024,484702,3026,3106,115.3,1,3.5,2.042,0,0
27024,484706,3026,2902,121,1,3.8,2.196,2,0
27024,484710,3026,2803,112.3,1,3.4,2.546,0,0
27035,484880,3026,3106,58,0.453,1.6,1.289,0,0
27035,484884,3026,2902,36.6,0.345,1.4,1.437,1,0
27035,484888,3026,2803,57,0.777,1.8,1.614,0,0
27042,485035,3026,2403,95.3,1,3.1,3.1265,2,2
27042,485039,3026,420,124.2,1,3.5,3.3425,2,2
27042,485043,3026,2701,137.9,0.974,3.8,3.153,2,2
27050,485180,3026,2904,153.3,1,4.6,1.538,2,2
27050,485184,3026,2402,162.1,1,4.6,2.2185,2,2
27050,485188,3026,520,192.9,1,4.8,3.371,0,2
27069,485505,3026,310,51.6,0.805,1.9,4,2,0
27069,485509,3026,2102,53,0.92,2.1,4,2,2
27069,485514,3026,2302,64.2,0.939,2.3,4,0,0
27080,485744,3026,310,42.1,0.621,1.5,2.364,2,0
27080,485749,3026,2102,35.6,0.667,1.5,2.28,0,0
27080,485754,3026,2302,41.7,0.695,1.4,1.633,0,2
27113,486547,3026,2101,100.8,0.986,2.9,3.4255,2,2
27113,486551,3026,2504,116.3,1,3.6,3.4465,2,0
27113,486555,3026,410,104.7,1,3.4,4,0,2
27144,488191,3026,3106,83.1,1,2.9,1.442,0,0
27144,488195,3026,2902,83.9,0.922,2.7,3.658,0,0
27144,488199,3026,2803,94.3,0.983,2.9,2.967,0,0
27150,488273,3026,310,85.5,0.977,2.3,4,2,2
27150,488277,3026,2102,66.6,0.987,2.1,4,2,2
27150,488281,3026,2302,85.9,1,2.6,4,2,2
27162,489045,3026,2203,57.9,0.852,1.9,2.678,2,2
27162,489049,3026,350,45.6,0.812,1.9,3.8745,2,2
27162,489054,3026,2401,69.7,0.951,2.3,3.7165,2,2
27164,489069,3026,1903,49.7,0.645,1.8,0.921,0,0
27164,489073,3026,1603,72.9,0.639,2,2.829,0,0
27164,489078,3026,1401,81.8,0.641,1.6,0.4235,2,2
27171,489148,3026,2401,76.9,0.988,2.8,2.904,,
27171,489152,3026,350,57.3,0.95,2.4,3.646,,
27171,489156,3026,2203,68.5,0.989,2.7,3.143,,
27177,489253,3026,3106,109.1,0.821,3.3,1.4245,0,0
27177,489257,3026,2902,53.5,0.603,2,1.5705,2,0
27177,489261,3026,2803,103.1,0.876,3.1,2.986,2,2
27185,489483,3026,3106,112.9,1,3.4,2.0905,0,1
27185,489487,3026,2902,85.5,0.983,3,1.7445,2,0
27185,489491,3026,2803,109.7,1,3.3,1.968,0,0
27188,489510,3026,3106,94.9,1,3.1,2.8865,0,1
27188,489514,3026,2902,95.5,0.991,3.1,2.3875,2,2
27188,489518,3026,2803,85.4,0.975,3.1,3.397,0,2
27209,489744,3026,3106,70,0.872,2.1,1.872,0,1
27209,489748,3026,2902,72.3,0.957,2.3,2.3095,2,0
27209,489752,3026,2803,60.4,0.802,1.9,2.721,0,0
27229,489978,3026,2904,151.3,1,4.2,2.1215,2,2
27229,489982,3026,2402,172.9,0.989,4.6,3.3695,2,2
27229,489986,3026,520,173.6,0.987,4.4,4,2,0
27237,490057,3026,3106,103,0.983,3.2,1.882,0,1
