session,response,value
50140,777703,"109	97	101	89	75	56	58			84	63	62			59	117"
50193,778280,"85	163	188	163	153	155	164	177	153	106	97	122	169	168	136	198"
50212,778446,"146	135	135	142	123	94	33	32	89	108	88	98	96	59	70	108"
50232,778646,"148	157	193	171	97	99	161	154	113	111	91	54	61	109	135	145"
50645,782566,"117	117	118	93	95	129	88	64	80	114	93	93	101	93	93	115"
50666,782752,"99	90	104			80	98	120	99	89	71	60	74	77	78	134"
50687,782968,"115	125	225	171	140	145	167	169	161	193	101	100	199	131	124	172"
50918,785000,"130	121	171	174	147	168	179	120	116	134	120	154	114	80	112	176"
50941,785260,"119	77	98	160	134	121	94	101	92	63	64	104	117	83	83	115"
51042,786362,"108	119	130	91	95	117	124	142	105	54	27	32	124	130	111	189"
51192,787881,"38	32	35													"
51264,788618,"82	56	66	88	68	59	42	50	65	67	84	80	53	45	69	90"
51727,793377,"136	144	143	78	75	102	102	130	134	139	141	172	157	116	141	229"
52113,797694,"112	119	143	108	90	87	78	70	56	73	85	74	74	66	78	90"
52324,800008,"128	103	105	118	87	81	119	143	87	91	119	109	122	85	87	141"
52490,801656,"132	100	111	132	115	121	129	115	58	61	124	106	85	79	93	141"
52743,804172,"47	28	33	47	36	28	26	28	33							"
52746,804227,"	49	48	53	32	40	33	30	38	39	52					"
52812,805151,"60	29	36	72	69	65	67	56	36	43	56			70	85	"
53212,808900,"94	62	64	84	68	73	67	66	49	50	77	73	66	51	54	80"
53264,809369,"182	177	178	145	119	136	151	128	133	162	164	133	136	157	136	129"
53536,811927,"91	73	88	102	96	80	59	65	72	79	117	124	69	61	72	90"
