session,response,WCPM,Accuracy,wc,nRefWords,words
32239,565656,88.6,0.907,78,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to fur or to a person's nearby or far away water can plants find homes i ground the wind animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
32258,566012,26.4,0.830,39,86,"how do plants find homes i saw a flower growing growing in a sidewalk i wondered sidewalk i wondered how the plant got there seeds got there seeds seeds seeds travel in different ways some some seeds just drop to the ground the wind or far away water can"
32714,573911,36.7,1.000,52,86,"how do plants plants find plants find homes i saw a i saw a flower socks saw a flower growing in a sidewalk sidewalk i wondered wondered how the plant got there got there seeds travel in different ways a journey some animals seeds fall just drop to the ground the to the ground the wind wind or birds carry birds carry seeds to seeds to new places nearby nearby or far away just or water can can take seeds on on a journey a journey"
32922,577295,42.5,0.984,62,86,"how do plants find homes i saw a flower growing in a sidewalk sidewalk i wondered wondered how the plant got there seeds travel travel in different ways some seeds just drop to the ground the wind or birds carry seeds to wait for sun and when the seeds fall on the places nearby or nearby or far away fall on on a water can take seeds on a journey some animals some animals hide seeds in the ground seeds can stick to"
35171,611801,43.1,0.849,62,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there got there seeds travel travel in different ways some some seeds just drop to just drop to got there to new places nearby or far away water water can take can take seeds on a journey on a journey some animals hide seeds in the in different stick to an can take seeds can take there can stick to an animal's fur or to a when person's how the person's"
37230,646370,61.3,0.953,82,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the homes i saw a flower the wind or birds carry seeds to new places nearby or far to a or far away water can how the plant got on a journey some animals hide seeds in the ground on a journey stick to an can stick to homes i homes i saw a an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
38071,655111,63.1,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a saw a flower growing in a sidewalk i wondered water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an seeds can take seeds on a to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
40760,679531,90.8,0.988,85,86,"how do plants find homes i saw a i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places wind or birds or far away water can can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for they wait for sun and water to grow"
40865,680977,21.1,0.775,31,86,"how do plants find homes i plant got there plant or far away and an animal's sidewalk i water can how how the plant got there seeds travel travel in different ways some seeds can take plant got to the ground the wind wind or birds carry seeds to new"
40887,681367,48.0,0.971,68,86,"how do plants wind or birds homes i saw a flower growing in a sidewalk i wondered how the how the plant got there there seeds travel in different different ways some seeds just drop to the ground the wind or birds carry seeds to new carry seeds to new places nearby or far away water can take seeds on a journey some wind or birds carry to an animal's hide seeds in the ground seeds can stick to an animal's fur or to a or to a person's take"
40964,682702,95.2,1.000,74,86,"how do plants find homes i saw a find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a how do a person's socks when the when the seeds homes i saw a flower growing in a sidewalk i wondered how the plant got there a flower growing"
41091,684835,85.7,0.988,85,86,"how do plants find homes i saw a flower growing in a sidewalk i in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places places nearby nearby or far or far away water when the take seeds on a journey some animals hide seeds in the ground seeds can stick to to an animal's fur or to a person's socks when when the when the seeds fall on the ground they wait for sun and water to grow seeds just"
41105,685081,103.0,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just on a drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
41120,685373,76.9,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or how the or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
41664,693673,37.7,0.982,56,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds fall on the ground they wait for seeds to new places nearby or far away water water can take seeds on a journey some animals hide seeds in"
42279,701452,56.0,0.918,78,86,"how how do plants find homes i saw a flower growing in a sidewalk i wondered i wondered how how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to an animal's fur or to nearby or far away the wind far away water can take seeds on a can take seeds on a journey some animals hide seeds an in the ground seeds can stick to an animal's far far far how do plants find homes i saw a flower growing when the seeds fall on the ground ground they wait for sun and water to"
42307,701803,51.5,0.860,74,86,"how do plants find homes i saw a flower growing in a sidewalk i a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby on a journey some in the nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an to an animal's wait for sun or to a for sun and water to grow"
42972,708879,37.0,0.778,49,86,"to the ground the places nearby find homes i saw a flower stick to an how do plants find homes i saw saw a flower when the seeds growing in a find a sidewalk i wondered how the plant got plant got there seeds travel in in a the plant got different ways some seeds just drop to drop to the ground the wind or birds carry seeds to new places nearby fall on the when the just drop to the ground the wind or seeds can stick to nearby"
44086,718450,63.6,0.965,83,86,"how do plants find homes i saw a flower growing in a can how in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop an seeds just drop to the ground the wind carry fur or to carry seeds to new places nearby or far away water can plants seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur some or to a person's plant when the seeds fall on the ground they wait for sun and water to grow"
44169,719358,79.5,0.929,79,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places to new places nearby or nearby or places nearby or far away water can take seeds or far on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a or to a person's socks when the seeds when the seeds fall on the ground or far away or to a to the ground"
44867,725917,54.6,0.663,57,86,"how do plants find homes i how the plant got i saw a the plant got there seeds travel in different can stick to an animal's fur or to a to an animal's fur or to a person's socks when the water can take seeds on a journey some animals hide seeds an animal's fur or to a seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow to an animal's fur"
45071,727930,82.2,1.000,86,86,"how do plants find homes i saw some saw a flower growing got growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just they just drop to the ground the wind the wind or birds carry seeds to new places nearby nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
46117,738013,91.3,0.988,85,86,"how do plants find homes i saw a flower growing in a seeds on a how do plants i wondered how the plant got there the plant got the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
46836,744734,82.1,0.872,75,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there the plant got there seeds travel in different ways some seeds just seeds just drop to the ground the wind how water can take to the ground the wind or birds carry take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
46990,746495,53.3,1.000,79,86,"how do plants find homes i saw a flower growing in a sidewalk i ground new on a journey the wind or wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or wind ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they"
47002,746643,87.0,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or far away water birds carry seeds to new places nearby or far away water water can take seeds on a journey some animals hide seeds in the homes i ground seeds can stick to an can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow ground"
47041,747118,113.1,1.000,86,86,"how do plants find homes i plants find homes i saw i saw a flower growing in growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide hide seeds in the ground on the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47043,747140,104.2,0.907,78,86,"how growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait they wait for sun and water to grow"
47092,747756,123.0,0.919,79,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47152,748435,138.0,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47361,750392,148.5,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47363,750430,123.6,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on fall on the ground they wait for sun and water to grow"
47388,750671,145.1,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47421,751005,179.9,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47464,751444,170.6,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow or far find socks when the seeds fall on the"
47502,751932,153.8,1.000,86,86,"or stick to an animal's how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47767,754877,81.1,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got plant got there seeds travel in different ways some seeds just drop to the there just drop to the ground the wind or birds carry seeds to new places nearby or nearby or far away water can plant take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or fur or to a person's socks when the seeds fall seeds fall on the ground they wait for sun and water to grow"
47824,755432,170.7,1.000,86,86,"how do plants find homes find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
47894,756108,122.1,1.000,86,86,"how do plants find homes how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop on the to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall seeds fall on the ground they wait for sun and water to grow"
47912,756277,54.7,0.952,80,86,"how do plants find homes i saw a flower growing in a sidewalk i i wondered how the plant got there seeds travel in different ways some seeds just drop carry drop to the ground the wind or ways some seeds just wait for sun fall on the carry seeds to new places nearby or far fall on find homes i saw plant got away water can can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or a sidewalk i wind to a person's socks when the seeds fall on the ground they wait water"
48155,758452,59.5,0.953,82,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways ground seeds can stick got to the ground the wind or birds carry seeds to new places nearby or far away water can water can take seeds on water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a the wind animal's fur or to a carry seeds to socks when the seeds fall on the ground they wait for sun and water to grow"
48268,759439,37.5,0.625,50,86,"travel in how do plants find homes i wondered a flower growing in to the ground the wind or birds carry there the wind wait there seeds travel in different there can take ways some fall on just drop to the ground the wind the ground the wind or the ground seeds can stick to an plant got there seeds for they wait for sun wait for plant got there seeds can take seeds on a journey some animals hide hide seeds in the ground when the seeds fall on the ground they wait on a how"
48359,760149,134.3,0.977,84,86,"how do plants find homes i saw a flower growing in a sidewalk growing in a sidewalk growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water water can take seeds on a journey some some animals hide seeds in the ground seeds can stick to an animal's fur or person's socks when the seeds fall on the ground they wait for sun and water to grow"
48410,760700,101.9,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
48418,760774,66.8,0.988,85,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds to a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun when the sun and water to grow"
48539,761914,47.4,0.802,69,86,"how do plants find homes i saw a flower growing in a journey sidewalk i wondered how the plant got there seeds seeds travel in different ways some seeds just drop to the drop to to the ground the wind or wind wind or when and water they carry seeds to to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an to a and water to grow"
48821,764258,77.5,0.977,84,86,"how do plants find homes i i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an an animal's wait for seeds just drop to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
48927,765397,80.8,0.977,84,86,"how do plants find homes in a sidewalk a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water wind or wind or can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
48972,765852,125.2,1.000,86,86,"how do plants find homes i saw a flower growing in a a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
48978,765936,89.6,0.826,71,86,"how do plants find homes i how do plants find homes i saw homes i saw plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some hide in the ground seeds can stick to an animal's fur or to a fall on the seeds fall on the ground they wait for sun and water to grow"
49169,767975,60.6,0.977,84,86,"how do plants find homes i saw a flower growing in a sidewalk or to wind or birds can stick how the plant how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds there birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for wait for sun and water to grow"
49197,768332,122.9,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
49373,770432,118.8,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
49541,772052,25.3,0.580,29,86,"to a person's socks when the seeds fall on how do plants find homes homes i saw a flower a journey some fall on growing in a sidewalk sidewalk i wondered how the wondered how wait seeds the plant got there when the saw a flower growing in a sidewalk i wondered how the plant got there nearby or the wind or the seeds growing travel seeds to new when the new the ground the wind on different ways"
49581,772457,89.1,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
49599,772604,71.2,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant wind got there seeds travel in different ways some seeds just drop to the ground the wind the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
49607,772665,36.7,0.567,38,86,"how do plants find homes i saw a flower growing flower growing in a sidewalk the wind in the ground seeds got there seeds travel in different ways some seeds just drop to the ground the wind or how do to new water can ground the wind or the ground the wind or"
49661,773099,101.7,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
49698,773426,136.0,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow and water to grow"
49703,773475,102.6,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
49841,774702,109.4,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or fur or to a person's a person's socks when the seeds fall on the ground they wait for sun and water to grow"
49998,776213,151.1,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50020,776447,82.8,1.000,86,86,"how how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50030,776548,111.7,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50031,776566,88.3,0.965,83,86,"how do plants find homes i saw a flower growing in a seeds just drop to the wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or or birds carry seeds to new places nearby or far away water can can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's an animal's fur or to a person's socks socks when the seeds fall on on the ground they wait for sun and water water can grow"
50061,776904,84.6,0.942,81,86,"how do homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50103,777296,124.2,1.000,86,86,"how do plants find find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50118,777462,167.9,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50140,777703,74.6,0.849,73,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just can new the ground the wind or birds carry seeds to new places the wind or can take seeds on a journey some animals hide seeds in the ground seeds can stick to to new places when the seeds fall on the ground they wait for sun and water to grow"
50193,778280,137.7,1.000,86,86,"how how do plants find homes how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50212,778446,81.1,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or the wind or birds carry seeds to to a birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds grow fall on the ground they wait for sun and water to grow"
50232,778646,112.6,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an stick to an to an animal's animal's fur or to a person's socks when the seeds fall on the ground they wait for for sun and water to grow"
50645,782566,98.9,0.988,85,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind when on a birds carry seeds to new places nearby or or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50666,782752,82.3,0.930,80,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant a flower growing in a some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50687,782968,145.6,0.988,84,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground hide seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to or to"
