session,response,value
47502,751936,"186	167	178	190	183	204	190	169	193	173	130	106	127"
47767,754881,"97		53	55	69	83	90	83	82	82	52	50	74"
47824,755436,"120	153	213	155	143	190	252	192	214	280	207	169	154"
47894,756112,"134	160	186	172	152	158	76	73	180	186	129	110	132"
47912,756281,"76	72	78	79	49	39	47	35	38	76	70	46	45"
48155,758456,"40	46	89	69	77	74	82	83	84	118	99	59	52"
48268,759443,"80	103	67	60	69	53	34			112	98	83	52"
48359,760154,"126	79	97	168	136	94	102	123	167	237	165	143	167"
48410,760704,"108	132	180	135	97	99	112	89	125	180	124	125	140"
48418,760778,"106	88	82	95	110	99	81	68	92	115	75	51	51"
48539,761918,"60	56	69	68	62	40	44	28	32	98	69	41	35"
48821,764262,"93	109	109	103	101	76	69	68	84	94	79	67	63"
48927,765401,"107	120	170	143	95	99	90	71	115	203	142	100	105"
48972,765857,"117	124	128	102	97	124	117	92	135	186	129	117	134"
48978,765940,"202	178	197	179	151	167	182	164	199	302	223	165	171"
49169,767979,"77	78	78	78	94	59	54	72	81	106	105	64	32"
49197,768336,"131	126	138	147	77	83	172	149	174	209	168	115	107"
49373,770436,"120	135	162	95	76	103	123	63	73	121	101	76	70"
49541,772056,"45	31	35	19	19	50	65	58	53				"
49581,772461,"130	126	68	63	89	79	85	64	59	82	90	94	113"
49599,772608,"109	101	109	78	62	76	94	71	84	119	88	73	76"
49607,772669,"97	102	90	77	66	35	41	70	80	77	66	71	87"
49661,773103,"122	150	181	163	118	118	117	87	113	149	115	109	127"
49698,773430,"152	151	185	201	183	193	218	161	198	157	117	135	136"
49703,773479,"116	114	149	152	109	101	101	100	135	176	133	100	96"
49841,774707,"79	94	119	119	127	144	128	109	169	233	171	156	165"
49998,776218,"190	186	175	140	125	139	135	116	148	185	152	145	172"
50020,776451,"135	118	51	49	84	82	81	76	88	106	117	113	87"
50030,776552,"94	117	252	206	128	139	174	133	165	200	142	90	74"
50031,776570,"142	120	112	119	118	108	108	105	115	131	123	86	79"
50061,776908,"124	105	114	105	77	80	63	62	105	100	80	95	91"
50103,777301,"118	146	142	112	134	149	164	161	204	178	129	108	103"
50118,777467,"139	175	213	189	160	162	172	164	222	299	231	185	182"
50140,777707,"112	120	94	85	71	69	84	78	72	80	72	44	49"
50193,778288,"156	155	165	174	163	120	153	154	177	252	189	181	198"
50212,778450,"167	138	150	156	135	110	111	114	108	151	169	152	142"
50232,778650,"135	138	171	150	139	164	173	127	122	155	197	164	143"
50645,782570,"113	147	124	115	109	104	97	89	85	96	117	92	88"
50666,782756,"84	90	109	110	126	73	76					130	131"
50687,782972,"93	161	140	84	98	173	233	150	164	286	244	199	166"
50918,785004,"108	152	158	150	158	155	184	155	194	245	159	154	174"
50941,785264,"105	94	143	194	128	107	91	80	122	83	71	93	89"
51042,786366,"79	49	61	99	52	55	137		119	109	93	141	118"
51192,787885,"69	45	31	33	35	44	70	69	66	80	91	69	49"
51264,788622,"80	80	79	69	59	69	69	64	76	90	76	57	63"
51727,793382,"159	163	195	141	121	110	132	152	165	165	121	130	124"
52113,797698,"131	95	97	121	118	96	104	100	105	148	112	71	75"
52324,800012,"100	95	142	117	112	63	33			118	128	76	65"
52490,801660,"151	148	166	127	96	111	146	124	131	140	120	81	79"
52743,804176,"44	45	60	51	30	32	51	53	70	68	69	39	37"
52746,804231,"	82	85	52	30	21	33			108	79	37	36"
52812,805155,"90	90	77	69	62	36	40	74	74	85	57	58	103"
53212,808904,"127	137	100	67	73	84	79	87	90	79	73	69	79"
53264,809373,"132	157	179	122	104	96				126		170	117"
53536,811931,"122	124	108	114	109	101	106	118	170	175	123	92	76"
